Date,Name_Holiday
2016-01-18,Martin Luther King Jr. Day
2016-02-15,Presidents Day (Washingtons Birthday)
2016-05-30,Memorial Day
2016-07-04,Independence Day
2016-09-05,Labor Day
2016-10-10,Columbus Day
2016-11-11,Veterans Day
2016-11-24,Thanksgiving Day
2016-12-25,Christmas Day
2017-01-02,New Year Day
2017-01-16,Martin Luther King Jr. Day
2017-02-20,Presidents Day (Washingtons Birthday)
2017-05-29,Memorial Day
2017-07-04,Independence Day
2017-09-04,Labor Day
2017-10-09,Columbus Day
2017-11-10,Veterans Day
2017-11-23,Thanksgiving Day
2017-12-25,Christmas Day
2018-01-01,New Year Day
2018-01-15,Martin Luther King Jr. Day
2018-02-19,Presidents Day (Washingtons Birthday)
2018-05-28,Memorial Day
2018-07-04,Independence Day
2018-09-03,Labor Day
2018-10-08,Columbus Day
2018-11-12,Veterans Day
2018-11-22,Thanksgiving Day
2018-12-25,Christmas Day
